,const,logshare,odometer,condition,year_2013,year_2014,year_2011,year_2008,year_2007,year_2010,year_2006,year_2009,year_2005,year_2004,year_2003,year_2015,year_2002,year_1999,year_2001,year_2000,body_suv,body_pickup,body_van,body_hatchback,body_coupe,body_wagon,body_convertible,color_white,color_gray,color_silver,color_blue,color_red,color_other_color,color_gold,color_green,interior_gray,interior_beige,interior_tan,interior_other_interior,sellingprice,Nb_CompetingProducts,odometer_CompetingProducts,condition_CompetingProducts,year_2013_CompetingProducts,year_2014_CompetingProducts,year_2011_CompetingProducts,year_2008_CompetingProducts,year_2007_CompetingProducts,year_2010_CompetingProducts,year_2006_CompetingProducts,year_2009_CompetingProducts,year_2005_CompetingProducts,year_2004_CompetingProducts,year_2003_CompetingProducts,year_2015_CompetingProducts,year_2002_CompetingProducts,year_1999_CompetingProducts,year_2001_CompetingProducts,year_2000_CompetingProducts,body_suv_CompetingProducts,body_pickup_CompetingProducts,body_van_CompetingProducts,body_hatchback_CompetingProducts,body_coupe_CompetingProducts,body_wagon_CompetingProducts,body_convertible_CompetingProducts,color_white_CompetingProducts,color_gray_CompetingProducts,color_silver_CompetingProducts,color_blue_CompetingProducts,color_red_CompetingProducts,color_other_color_CompetingProducts,color_gold_CompetingProducts,color_green_CompetingProducts,interior_gray_CompetingProducts,interior_beige_CompetingProducts,interior_tan_CompetingProducts,interior_other_interior_CompetingProducts
0,1.0,-10.25221504678481,66845.08327299058,33.713251267197684,0.08399710354815351,0.03475742215785663,0.15713251267197684,0.07675597393193338,0.06372194062273714,0.02606806661839247,0.0774800868935554,0.0333091962346126,0.0333091962346126,0.041998551774076756,0.028240405503258507,0.0065170166545981175,0.022447501810282405,0.01882693700217234,0.013758146270818247,0.015206372194062274,0.1491672700941347,0.0,0.0,0.010861694424330196,0.10644460535843592,0.0065170166545981175,0.11585807385952208,0.19768283852280955,0.2280955829109341,0.10644460535843592,0.08544532947139753,0.018102824040550327,0.012309920347574221,0.0065170166545981175,0.010861694424330196,0.16799420709630702,0.11803041274438812,0.06010137581462708,0.041998551774076756,20901.97320782042,15,922769.1536104014,450.1926397343327,2.5853926278803487,2.474042138830644,1.4660689600784897,0.7177018596740776,0.7168049436559438,0.7786302535714438,0.6360039986183299,0.5883046358270755,0.4898957144375122,0.3776045715103337,0.2978205197939311,0.20040165077336292,0.22136374971159367,0.19733754049712085,0.1386069768428621,0.11526792066504576,3.7757644786832025,0.5499923131330701,1.25343465891588,0.601880079930831,0.5794404228379985,0.4032950675647034,0.4251045643674529,2.986731388788617,2.326345946465439,2.3595801575627933,1.3793422869940162,1.230934377776813,0.8488632358361461,0.40317768377547153,0.29938369309424107,4.498196512116612,2.316830202701021,1.0901801542818317,0.3538376507015629
1,1.0,-10.006305819030198,85526.76160815402,27.98867497168743,0.19309173272933183,0.11155152887882219,0.07757644394110985,0.07021517553793885,0.0855039637599094,0.04813137032842582,0.056625141562853906,0.04190260475651189,0.06681766704416761,0.04813137032842582,0.028878822197055492,0.009060022650056626,0.02434881087202718,0.010192525481313703,0.02548131370328426,0.007361268403171008,0.2582106455266138,0.22819932049830124,0.030577576443941108,0.031710079275198186,0.04246885617214043,0.020951302378255945,0.022650056625141562,0.2587768969422424,0.1636466591166478,0.17044167610419025,0.07757644394110985,0.06851642129105323,0.045300113250283124,0.03680634201585504,0.013590033975084938,0.37768969422423554,0.08776896942242356,0.026047565118912798,0.020385050962627407,11546.93261608154,15,921538.3999933362,459.7648431625552,2.5360862003324485,2.191833737174146,1.5370989533323465,0.7731147777995362,0.7413067385239509,0.7745348030324909,0.6750262510422634,0.6012926848129382,0.47934661778054616,0.3953740109895512,0.30547320667933037,0.17635140431755014,0.21983478807597404,0.19628524065321773,0.14515959922134536,0.11185053137319383,3.7363995024916714,0.4247356396217764,1.2214018047064343,0.577796841388195,0.63570768828642,0.39491655476919035,0.5386652968902642,2.9744676884552494,2.352300377992086,2.301495865243056,1.4067301508302572,1.1439332599852146,0.8204900411680612,0.3815585109412543,0.29949744193090067,4.233706338341874,2.419035255906916,1.1996671027107682,0.4491010703559832
2,1.0,-11.469063044151302,78628.92665036675,25.496332518337407,0.16625916870415647,0.17359413202933985,0.022004889975550123,0.097799511002445,0.10513447432762836,0.05134474327628362,0.1466992665036675,0.02689486552567237,0.07579462102689487,0.019559902200488997,0.019559902200488997,0.019559902200488997,0.0024449877750611247,0.0024449877750611247,0.009779951100244499,0.0024449877750611247,0.02689486552567237,0.0,0.20537897310513448,0.0,0.004889975550122249,0.13691931540342298,0.05134474327628362,0.20537897310513448,0.1784841075794621,0.1980440097799511,0.09535452322738386,0.06356968215158924,0.03178484107579462,0.03178484107579462,0.022004889975550123,0.3740831295843521,0.061124694376528114,0.012224938875305624,0.017114914425427872,8861.9804400978,15,924536.0571534919,460.58020673219477,2.526022599563642,2.2053769597082953,1.5825693619822796,0.7620213415016892,0.7134029364717052,0.7826609650245344,0.6505392410780478,0.6094571157902537,0.4663968501075575,0.3975096488392912,0.30429600699804815,0.1768060627097387,0.2210285519449113,0.19877672294810025,0.1444587627298688,0.11728244256630084,3.9550936162076753,0.5499923131330701,0.8667865365236687,0.6100815854857752,0.6795845078481545,0.3397492421944016,0.4873146016227669,2.9929767402126237,2.3474550675135237,2.353351482644592,1.3771893500945789,1.1486374892792661,0.8063248048285183,0.3474014424597619,0.301830136495848,4.360798780788462,2.390792173597183,1.1484095096014704,0.4626151627670149
3,1.0,-10.783277860032426,80645.78201970443,25.65270935960591,0.20566502463054187,0.13669950738916256,0.04926108374384237,0.09236453201970443,0.07142857142857142,0.06280788177339902,0.08374384236453201,0.03940886699507389,0.06773399014778325,0.0332512315270936,0.024630541871921183,0.003694581280788177,0.0049261083743842365,0.0049261083743842365,0.006157635467980296,0.0024630541871921183,0.1748768472906404,0.11576354679802955,0.3103448275862069,0.0,0.05541871921182266,0.05541871921182266,0.0012315270935960591,0.2376847290640394,0.13177339901477833,0.1687192118226601,0.09482758620689655,0.11822660098522167,0.038177339901477834,0.027093596059113302,0.008620689655172414,0.31650246305418717,0.06773399014778325,0.01600985221674877,0.014778325123152709,10424.014778325123,15,918985.9537888188,457.67771215639505,2.4689321962256723,2.260392258734721,1.558349056001751,0.7704174472040537,0.7351531450947928,0.7533947619647291,0.6599445261962675,0.5994643480572913,0.4814755705526201,0.3983719576014608,0.3022042128394946,0.20879493614506556,0.22335511661806848,0.20333082586882348,0.1485945068188813,0.12006408373459013,3.808411001464977,0.47239231313307006,0.85663465891588,0.6114724060699198,0.6413569696005884,0.3572902714016339,0.5665913749190117,2.994153930755044,2.355028920086542,2.3222794381383327,1.3596549968261504,1.1305123154266932,0.8288382957881845,0.3671700099145603,0.30537506000071585,4.3925005888552215,2.428285358576321,1.1992679240660045,0.46174172744017206
4,1.0,-9.579921008913521,73411.73345656192,30.821072088724584,0.2243992606284658,0.15378927911275417,0.06617375231053604,0.043992606284658044,0.043622920517560074,0.039186691312384475,0.05064695009242144,0.029574861367837338,0.04731977818853974,0.025878003696857672,0.03622920517560074,0.004066543438077634,0.024399260628465803,0.014787430683918669,0.018853974121996304,0.011090573012939002,0.30609981515711643,0.19704251386321628,0.05545286506469501,0.059149722735674676,0.05027726432532347,0.031053604436229204,0.05286506469500924,0.3042513863216266,0.1430683918669131,0.144547134935305,0.07652495378927911,0.08983364140480592,0.024399260628465803,0.015526802218114602,0.02735674676524954,0.3419593345656192,0.14935304990757856,0.05841035120147874,0.01922365988909427,12776.85101663586,15,907387.6630644177,450.9270899736089,2.499885168719018,2.344289330606948,1.5391966158952737,0.7682041375323589,0.7376312285020687,0.766206829400399,0.6571058394172081,0.608495758882491,0.4840196699315021,0.3855414340877075,0.28626100077205896,0.20036547740504781,0.20686674039801525,0.18842825266562918,0.14044117940095763,0.10631075631666644,3.6845586500896443,0.3352629431241969,1.1753512516399263,0.5640012436919252,0.6318492499910054,0.3928750096447572,0.5080288194620463,2.8931147115891167,2.3532855305568168,2.356375622699114,1.4050477208722907,1.1635699906707038,0.8307925105175545,0.39591109243452477,0.2795628151027567,4.231676453983882,2.3590211172276074,1.135525599310015,0.4404675482032599
5,1.0,-10.39186837811412,78122.4279766861,29.869275603663613,0.10824313072439634,0.09658617818484597,0.05995004163197336,0.058284762697751874,0.06994171523730225,0.042464612822647796,0.04329725228975854,0.034970857618651124,0.03913405495420483,0.041631973355537054,0.054954204829308906,0.004995836802664446,0.017485428809325562,0.04412989175686927,0.02497918401332223,0.01498751040799334,0.15986677768526228,0.004995836802664446,0.11990008326394672,0.05245628642797669,0.14321398834304747,0.0,0.0016652789342214821,0.1298917568692756,0.23896752706078267,0.18817651956702747,0.10241465445462115,0.03996669442131557,0.03746877601998335,0.034970857618651124,0.03330557868442964,0.47710241465445463,0.15070774354704414,0.08409658617818484,0.019150707743547043,11388.030807660283,15,892761.5811264531,454.0671659198359,2.581362303752554,2.504134194218592,1.5417555076146543,0.724292716021258,0.7084348655249003,0.7208442243303205,0.6608821606048697,0.5440406921433129,0.46668847377842654,0.379662280182106,0.2827203418717527,0.20879493614506556,0.20957447145677816,0.16272007318065146,0.13376439929199957,0.10393505147652561,3.6934174530778803,0.5424654314126399,1.1050475621416864,0.5630853092957263,0.5654773997081153,0.40821500258442955,0.564440837284603,3.0741453286045064,2.279080532989768,2.3155869650200533,1.3669496204820644,1.2036736057492736,0.8112210914871092,0.3719097948607968,0.2811428019361997,4.147132846919738,2.349498261802127,1.111113085356327,0.4608385016337205
6,1.0,-10.831206326604375,43406.232558139534,30.837209302325583,0.4418604651162791,0.2157622739018088,0.05813953488372093,0.011627906976744186,0.015503875968992248,0.020671834625323,0.023255813953488372,0.01808785529715762,0.007751937984496124,0.016795865633074936,0.00904392764857881,0.027131782945736434,0.014211886304909561,0.0,0.002583979328165375,0.0,0.13178294573643412,0.0,0.0012919896640826874,0.05297157622739018,0.01937984496124031,0.0,0.0,0.19121447028423771,0.1640826873385013,0.1744186046511628,0.1330749354005168,0.1111111111111111,0.04392764857881137,0.03359173126614987,0.00904392764857881,0.5167958656330749,0.23255813953488372,0.08010335917312661,0.027131782945736434,12785.66149870801,15,935419.788456839,449.05008169954226,2.2658391336199193,2.4695563873303215,1.526270545003443,0.7986827602328185,0.7553264107462311,0.7815396012202283,0.6883479102910222,0.5980552110014538,0.4964630494020279,0.4065276259601749,0.3131280707075149,0.19525855712645304,0.22284885604277238,0.2057308258688235,0.15081041206422818,0.11837203635726357,3.8550898508727607,0.5499923131330701,1.2483585167839004,0.5412524399108674,0.6685285432046493,0.4092902714016339,0.5665913749190117,3.074036164257582,2.3228827271931407,2.2892019423684515,1.3217883301594837,1.151067306966456,0.8368910876663571,0.406001820405254,0.2915625388501237,4.147711417958437,2.235618015090703,1.1492496499543292,0.4424388509596306
7,1.0,-10.688191619317603,43922.40201567749,34.85442329227324,0.3135498320268757,0.07726763717805152,0.1265397536394177,0.023516237402015677,0.013437849944008958,0.005599104143337066,0.030235162374020158,0.010078387458006719,0.029115341545352745,0.03583426651735722,0.027995520716685332,0.0,0.0011198208286674132,0.0022396416573348264,0.0033594624860022394,0.0022396416573348264,0.08622620380739082,0.0,0.0,0.0,0.187010078387458,0.0,0.036954087346024636,0.21612541993281076,0.2821948488241881,0.07054871220604703,0.09854423292273236,0.04591265397536394,0.006718924972004479,0.005599104143337066,0.0022396416573348264,0.1343784994400896,0.12206047032474804,0.015677491601343786,0.011198208286674132,20037.34602463606,15,941663.2002983623,447.4558465962291,2.3953720302505688,2.5018141121233795,1.3379407572465642,0.801087433372795,0.7621893829924414,0.8174622585069145,0.6868313865005552,0.6220668376838473,0.4901793049924541,0.4003913213635632,0.3099054576527726,0.20879493614506556,0.2266226131602538,0.20296457413991617,0.15142825508997398,0.11868095787013647,3.8140840305106205,0.5499923131330701,1.25343465891588,0.6114724060699198,0.5302299986462315,0.4092902714016339,0.5306301024432164,2.9665069044756525,2.2015362506536236,2.3997256345422056,1.4303637105190965,1.2474473085110638,0.8482264009057502,0.4072375064567456,0.3087919341362622,4.470106121358679,2.3070139892817147,1.1917403998613016,0.4599104687956354
8,1.0,-11.539978825067402,80486.656167979,29.664041994750654,0.10498687664041995,0.10498687664041995,0.08136482939632546,0.07349081364829396,0.10236220472440945,0.05774278215223097,0.08923884514435695,0.03412073490813648,0.07349081364829396,0.06036745406824147,0.028871391076115485,0.013123359580052493,0.03674540682414698,0.007874015748031496,0.007874015748031496,0.010498687664041995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2152230971128609,0.12073490813648294,0.1679790026246719,0.09186351706036745,0.09448818897637795,0.06824146981627296,0.026246719160104987,0.04199475065616798,0.3648293963254593,0.08661417322834646,0.02099737532808399,0.03937007874015748,13112.860892388451,15,922435.2413527076,452.80350104528395,2.589751640670117,2.286392258734721,1.5499768337795288,0.765925780537387,0.720789256205904,0.7691753175202847,0.6582611928629342,0.6160949036128469,0.4786172372192868,0.37149695760146084,0.30952365728393905,0.2018504917006211,0.21653011661806848,0.19531415920215683,0.14898617348554796,0.11138352817903457,2.9676110014649772,0.5499923131330701,1.25343465891588,0.6114724060699198,0.6837569696005884,0.4092902714016339,0.5665913749190117,3.0279983751994886,2.3615178089754307,2.327493327027222,1.3912327746039281,1.1595539820933598,0.8105938513437401,0.39540889880344915,0.25982783777849366,4.326433922188555,2.4162881363540984,1.194009590732671,0.4320750607735054
9,1.0,-11.384703918027864,46132.21797752809,32.85168539325843,0.19775280898876405,0.36404494382022473,0.051685393258426963,0.038202247191011236,0.017977528089887642,0.035955056179775284,0.024719101123595506,0.03146067415730337,0.029213483146067417,0.017977528089887642,0.0022471910112359553,0.060674157303370786,0.006741573033707865,0.0,0.0,0.0,0.23370786516853934,0.0,0.06292134831460675,0.020224719101123594,0.011235955056179775,0.16179775280898875,0.0,0.20674157303370785,0.14157303370786517,0.16179775280898875,0.0853932584269663,0.09213483146067415,0.07865168539325842,0.008988764044943821,0.015730337078651686,0.36404494382022473,0.1752808988764045,0.0449438202247191,0.011235955056179775,11887.080898876404,15,939673.5272739016,448.8548745873343,2.490766450369319,2.165121540502677,1.5363910449520273,0.8088528063200757,0.7660835318351242,0.7865306735669391,0.6882450786824554,0.6165649005434792,0.4896612059117361,0.4117421233473172,0.3093644338339698,0.13476178697379484,0.22663025473961546,0.2057308258688235,0.1530895344431907,0.11785413898320891,3.6648485705257507,0.5499923131330701,1.1959760953799685,0.6015276546887044,0.6782321077221354,0.27669358631876095,0.5665913749190117,3.0184986821362596,2.3267725664953818,2.319733581784742,1.4343113504173106,1.1612747463659197,0.7717510029705049,0.3984053690305824,0.27592091635430704,4.228045340236437,2.3630787287420665,1.1652745539002585,0.462692003683266
