,state,"state, full name",population (2015),marketid,totalsales,logshare_oo,make,logshare,mmr,sellingprice,odometer,condition,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,body_suv,body_sedan,body_convertible,body_coupe,body_wagon,body_hatchback,body_pickup,body_van,color_white,color_gray,color_black,color_red,color_silver,color_other_color,color_blue,color_gold,color_green,interior_black,interior_beige,interior_tan,interior_other_interior,interior_gray
0,ca,California (US),39144818.0,1,16,-4.087387319056509e-07,bmw,-10.25221504678481,20767.215785662564,20901.97320782042,66845.08327299058,33.713251267197684,0.0065170166545981175,0.03475742215785663,0.08399710354815351,0.2664735698769008,0.15713251267197684,0.02606806661839247,0.0333091962346126,0.07675597393193338,0.06372194062273714,0.0774800868935554,0.0333091962346126,0.041998551774076756,0.028240405503258507,0.022447501810282405,0.013758146270818247,0.015206372194062274,0.01882693700217234,0.1491672700941347,0.611151339608979,0.11585807385952208,0.10644460535843592,0.0065170166545981175,0.010861694424330196,0.0,0.0,0.19768283852280955,0.2280955829109341,0.33454018826937004,0.018102824040550327,0.10644460535843592,0.012309920347574221,0.08544532947139753,0.0065170166545981175,0.010861694424330196,0.611875452570601,0.11803041274438812,0.06010137581462708,0.041998551774076756,0.16799420709630702
1,ca,California (US),39144818.0,1,16,-4.087387319056509e-07,chevrolet,-10.006305819030198,11392.341449603624,11546.93261608154,85526.76160815402,27.98867497168743,0.009060022650056626,0.11155152887882219,0.19309173272933183,0.09513023782559456,0.07757644394110985,0.04813137032842582,0.04190260475651189,0.07021517553793885,0.0855039637599094,0.056625141562853906,0.06681766704416761,0.04813137032842582,0.028878822197055492,0.02434881087202718,0.02548131370328426,0.007361268403171008,0.010192525481313703,0.2582106455266138,0.3652321630804077,0.022650056625141562,0.04246885617214043,0.020951302378255945,0.031710079275198186,0.22819932049830124,0.030577576443941108,0.2587768969422424,0.1636466591166478,0.16534541336353342,0.06851642129105323,0.17044167610419025,0.045300113250283124,0.07757644394110985,0.03680634201585504,0.013590033975084938,0.4881087202718007,0.08776896942242356,0.026047565118912798,0.020385050962627407,0.37768969422423554
2,ca,California (US),39144818.0,1,16,-4.087387319056509e-07,chrysler,-11.469063044151302,9048.655256723716,8861.9804400978,78628.92665036675,25.496332518337407,0.019559902200488997,0.17359413202933985,0.16625916870415647,0.05867970660146699,0.022004889975550123,0.05134474327628362,0.02689486552567237,0.097799511002445,0.10513447432762836,0.1466992665036675,0.07579462102689487,0.019559902200488997,0.019559902200488997,0.0024449877750611247,0.009779951100244499,0.0024449877750611247,0.0024449877750611247,0.02689486552567237,0.5745721271393643,0.05134474327628362,0.004889975550122249,0.13691931540342298,0.0,0.0,0.20537897310513448,0.20537897310513448,0.1784841075794621,0.17359413202933985,0.06356968215158924,0.1980440097799511,0.03178484107579462,0.09535452322738386,0.03178484107579462,0.022004889975550123,0.5354523227383863,0.061124694376528114,0.012224938875305624,0.017114914425427872,0.3740831295843521
3,ca,California (US),39144818.0,1,16,-4.087387319056509e-07,dodge,-10.783277860032426,10291.748768472906,10424.014778325123,80645.78201970443,25.65270935960591,0.003694581280788177,0.13669950738916256,0.20566502463054187,0.11083743842364532,0.04926108374384237,0.06280788177339902,0.03940886699507389,0.09236453201970443,0.07142857142857142,0.08374384236453201,0.06773399014778325,0.0332512315270936,0.024630541871921183,0.0049261083743842365,0.006157635467980296,0.0024630541871921183,0.0049261083743842365,0.1748768472906404,0.2869458128078818,0.0012315270935960591,0.05541871921182266,0.05541871921182266,0.0,0.11576354679802955,0.3103448275862069,0.2376847290640394,0.13177339901477833,0.1748768472906404,0.11822660098522167,0.1687192118226601,0.038177339901477834,0.09482758620689655,0.027093596059113302,0.008620689655172414,0.5849753694581281,0.06773399014778325,0.01600985221674877,0.014778325123152709,0.31650246305418717
4,ca,California (US),39144818.0,1,16,-4.087387319056509e-07,ford,-9.579921008913521,12735.39741219963,12776.85101663586,73411.73345656192,30.821072088724584,0.004066543438077634,0.15378927911275417,0.2243992606284658,0.16598890942698707,0.06617375231053604,0.039186691312384475,0.029574861367837338,0.043992606284658044,0.043622920517560074,0.05064695009242144,0.04731977818853974,0.025878003696857672,0.03622920517560074,0.024399260628465803,0.018853974121996304,0.011090573012939002,0.014787430683918669,0.30609981515711643,0.24805914972273568,0.05286506469500924,0.05027726432532347,0.031053604436229204,0.059149722735674676,0.19704251386321628,0.05545286506469501,0.3042513863216266,0.1430683918669131,0.1744916820702403,0.08983364140480592,0.144547134935305,0.024399260628465803,0.07652495378927911,0.015526802218114602,0.02735674676524954,0.4310536044362292,0.14935304990757856,0.05841035120147874,0.01922365988909427,0.3419593345656192
5,ca,California (US),39144818.0,1,16,-4.087387319056509e-07,honda,-10.39186837811412,10579.787676935886,11388.030807660283,78122.4279766861,29.869275603663613,0.004995836802664446,0.09658617818484597,0.10824313072439634,0.24396336386344714,0.05995004163197336,0.042464612822647796,0.034970857618651124,0.058284762697751874,0.06994171523730225,0.04329725228975854,0.03913405495420483,0.041631973355537054,0.054954204829308906,0.017485428809325562,0.02497918401332223,0.01498751040799334,0.04412989175686927,0.15986677768526228,0.517901748542881,0.0016652789342214821,0.14321398834304747,0.0,0.05245628642797669,0.004995836802664446,0.11990008326394672,0.1298917568692756,0.23896752706078267,0.1948376353039134,0.03996669442131557,0.18817651956702747,0.03746877601998335,0.10241465445462115,0.034970857618651124,0.03330557868442964,0.26894254787676936,0.15070774354704414,0.08409658617818484,0.019150707743547043,0.47710241465445463
6,ca,California (US),39144818.0,1,16,-4.087387319056509e-07,hyundai,-10.831206326604375,12835.562015503876,12785.66149870801,43406.232558139534,30.837209302325583,0.027131782945736434,0.2157622739018088,0.4418604651162791,0.11757105943152454,0.05813953488372093,0.020671834625323,0.01808785529715762,0.011627906976744186,0.015503875968992248,0.023255813953488372,0.007751937984496124,0.016795865633074936,0.00904392764857881,0.014211886304909561,0.002583979328165375,0.0,0.0,0.13178294573643412,0.7945736434108527,0.0,0.01937984496124031,0.0,0.05297157622739018,0.0,0.0012919896640826874,0.19121447028423771,0.1640826873385013,0.13953488372093023,0.1111111111111111,0.1744186046511628,0.04392764857881137,0.1330749354005168,0.03359173126614987,0.00904392764857881,0.1434108527131783,0.23255813953488372,0.08010335917312661,0.027131782945736434,0.5167958656330749
7,ca,California (US),39144818.0,1,16,-4.087387319056509e-07,infiniti,-10.688191619317603,19955.683090705486,20037.34602463606,43922.40201567749,34.85442329227324,0.0,0.07726763717805152,0.3135498320268757,0.2978723404255319,0.1265397536394177,0.005599104143337066,0.010078387458006719,0.023516237402015677,0.013437849944008958,0.030235162374020158,0.029115341545352745,0.03583426651735722,0.027995520716685332,0.0011198208286674132,0.0033594624860022394,0.0022396416573348264,0.0022396416573348264,0.08622620380739082,0.6898096304591266,0.036954087346024636,0.187010078387458,0.0,0.0,0.0,0.0,0.21612541993281076,0.2821948488241881,0.2721164613661814,0.04591265397536394,0.07054871220604703,0.006718924972004479,0.09854423292273236,0.005599104143337066,0.0022396416573348264,0.7166853303471444,0.12206047032474804,0.015677491601343786,0.011198208286674132,0.1343784994400896
8,ca,California (US),39144818.0,1,16,-4.087387319056509e-07,jeep,-11.539978825067402,12731.889763779527,13112.860892388451,80486.656167979,29.664041994750654,0.013123359580052493,0.10498687664041995,0.10498687664041995,0.11286089238845144,0.08136482939632546,0.05774278215223097,0.03412073490813648,0.07349081364829396,0.10236220472440945,0.08923884514435695,0.07349081364829396,0.06036745406824147,0.028871391076115485,0.03674540682414698,0.007874015748031496,0.010498687664041995,0.007874015748031496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2152230971128609,0.12073490813648294,0.1732283464566929,0.09448818897637795,0.1679790026246719,0.06824146981627296,0.09186351706036745,0.026246719160104987,0.04199475065616798,0.4881889763779528,0.08661417322834646,0.02099737532808399,0.03937007874015748,0.3648293963254593
9,ca,California (US),39144818.0,1,16,-4.087387319056509e-07,kia,-11.384703918027864,11842.134831460675,11887.080898876404,46132.21797752809,32.85168539325843,0.060674157303370786,0.36404494382022473,0.19775280898876405,0.12134831460674157,0.051685393258426963,0.035955056179775284,0.03146067415730337,0.038202247191011236,0.017977528089887642,0.024719101123595506,0.029213483146067417,0.017977528089887642,0.0022471910112359553,0.006741573033707865,0.0,0.0,0.0,0.23370786516853934,0.5101123595505618,0.0,0.011235955056179775,0.16179775280898875,0.020224719101123594,0.0,0.06292134831460675,0.20674157303370785,0.14157303370786517,0.20898876404494382,0.09213483146067415,0.16179775280898875,0.07865168539325842,0.0853932584269663,0.008988764044943821,0.015730337078651686,0.4044943820224719,0.1752808988764045,0.0449438202247191,0.011235955056179775,0.36404494382022473
